序号,,LIF,,,LOF,,,LRF,,,TOF,,,LNF,,,CORF,,,DORF,,,TNF,,,ENF,,
,,Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min)
,9,530,483,0.100717,523,479,0.150567,533,479,0.60425,519,487,0.025233,536,482,0.150317,538,481,0.126317,522,487,0.016817,518,497,0.025367,498,498,0.0083
,10,2526,1480,1.85957,1783,1495,0.3274,2355,1424,4.24317,1803,1573,0.140117,1823,1475,0.3322,1763,1460,0.189617,1793,1561,0.10895,1817,1446,0.135933,1567,1567,0.026117
,11,14366,10814,10.0155,12567,10885,3.459,14121,10628,44.4421,11956,11182,0.763333,12521,10301,3.38932,12102,10525,2.64283,11452,11014,0.564067,11123,10691,0.728233,11160,11160,0.186
,12,22,17,0.012933,20,17,0.001567,25,17,0.012917,21,19,0.0017,22,18,0.00165,/,/,/,19,18,0.00125,20,19,0.001617,18,18,0.0003
,13,3334,1149,1.00638,2196,1169,0.45555,1987,1165,3.6797,2357,1188,0.13405,3074,1177,0.509817,1817,1166,0.34855,1325,1159,0.083,1714,1218,0.117183,1587,1587,0.02645
,14,11011,9037,8.36133,11238,9232,2.90008,11198,8972,34.6914,9850,9404,0.64085,10474,8982,2.88565,10187,9122,2.22445,9734,9256,0.47305,9588,9050,0.621383,9113,9113,0.151883
,15,8854,6595,4.387,8172,6689,1.79398,8251,6575,20.9753,7179,6839,0.352883,7361,6610,1.743,7453,6584,1.4039,7333,7260,0.243217,7271,6901,0.355883,6737,6737,0.112283
,16,37104,28678,44.4625,34490,29682,9.47083,37099,28207,157.459,32170,30289,2.57505,33395,28472,9.1044,33278,28187,6.487,31132,29657,2.02985,34626,29492,2.6039,29719,29719,0.495317
,17,1710,1295,0.439967,1808,1354,0.44305,1935,1316,2.51503,1446,1403,0.071517,2157,1280,0.433267,1624,1352,0.363967,1438,1325,0.04605,1431,1416,0.071133,1340,1340,0.022333
,18,11,10,0.000717,11,10,0.001433,12,10,0.0029,11,11,0.000367,11,11,0.001467,12,10,0.00115,11,11,0.000183,11,11,0.000367,11,11,0.000183
,19,974,814,0.46635,922,798,0.158817,976,785,1.66777,857,817,0.04165,905,769,0.152317,927,804,0.11665,826,803,0.02715,969,864,0.045567,810,810,0.0135
,20,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
,21,85,78,0.0081,87,70,0.019867,103,73,0.04005,88,77,0.004083,81,73,0.019167,81,73,0.01525,77,75,0.002533,77,74,0.003767,79,79,0.001317
,22,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
,23,2410,2101,1.12048,2398,2077,0.783617,2992,2086,5.67727,2564,2118,0.15125,2349,2066,0.775033,2340,2081,0.620267,2161,2133,0.10755,2192,2107,0.143867,2235,2235,0.03725
,24,88799,76806,26.6072,93952,73941,56.837,86465,71160,272.839,81138,74094,5.09658,85526,74527,54.9041,86923,73917,49.8048,78587,76245,3.8839,83093,74191,5.28653,76159,76159,1.26932
,25,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
