,No.,expression,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total
,15,bei+bdi+bci+aei+aeg+adi+adg+aci+ach+acg+af,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,41,25,7,1,524,0,12,6,1,194,0,25,5,1,1845,0,25,8,1,90,0,6,2,1,83,0,2,2,1,21,0,1,1,1,10,0,1,1,1,11,0,1,1,1,1
,16,c!g!i!k!m+cg!h!l!m+c!g!hi!m+cgi!l!m+cgi!k!m+c!h!k!m+b!g!i!k+a!g!i!k+b!g!hi+bg!h!l+a!g!hi+ag!h!l+bgi!k+bgi!l+agi!k+agi!l+a!h!k+b!h!k+!i!kf+!hif+gf+a!e+a!d,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,95,35,5,1,928,0,16,5,1,467,0,25,3,1,4359,0,1,1,1,23,0,8,4,1,380,0,5,3,1,64,0,1,1,1,22,0,1,1,1,23,0,1,1,1,1
,17,acegij+acehik+bdegij+bdehik+acef+bdef,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,4,12,4,1,250,0,2,1,1,44,0,15,2,1,690,0,1,1,1,6,0,5,3,1,112,0,44,39,1,26,0,1,1,1,5,0,1,1,1,6,0,1,1,1,1
,18,ace!j!k+ace!h!j+ace!g!k+bde!j!k+bde!h!j+bde!g!k+bde!i+ace!i,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,14,12,3,1,202,0,6,2,1,82,0,16,2,1,814,0,1,1,1,8,0,5,2,1,106,0,14,14,1,30,0,1,1,1,7,0,1,1,1,8,0,1,1,1,1
,19,aceh!f+bdeh!f+acegf+bdegf,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,0,2,1,1,28,0,2,1,1,24,0,2,1,1,128,0,1,1,1,4,0,1,1,1,20,0,18,17,1,16,0,1,1,1,3,0,1,1,1,4,0,1,1,1,1
,20,!a!bd!e!gf+!abc!e!gf,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,0,2,1,1,6,0,2,1,1,14,0,2,1,1,26,0,1,1,1,2,0,1,1,1,12,0,10,10,1,10,0,1,1,1,1,0,1,1,1,2,0,1,1,1,1
,No.,expression,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total
25,1,!a+!b,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,2,3,3,3,6,0,3,3,3,6,0,3,2,2,10,0,3,3,3,6,0,1,1,1,2,,,,,,0,1,1,1,1,0,1,1,1,2,0,1,1,1,1
